month,minutes,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation
3,0,0,1,False,0,0,0,0.060899999999999996,0,0,0,0.0
3,15,0,1,False,0,0,0,0.0444,0,0,0,0.0
3,30,0,1,False,0,0,0,0.039,0,0,0,0.0
3,45,0,1,False,0,0,0,0.0353,0,0,0,0.0
3,0,1,1,False,0,0,0,0.035,0,0,0,0.0
3,15,1,1,False,0,0,0,0.033100000000000004,0,0,0,0.0
3,30,1,1,False,0,0,0,0.0308,0,0,0,0.0
3,45,1,1,False,0,0,0,0.0256,0,0,0,0.0
3,0,2,1,False,0,0,0,0.0327,0,0,0,0.0
3,15,2,1,False,0,0,0,0.0315,0,0,0,0.0
3,30,2,1,False,0,0,0,0.0314,0,0,0,0.0
3,45,2,1,False,0,0,0,0.028200000000000003,0,0,0,0.0
3,0,3,1,False,0,0,0,0.024600000000000004,0,0,0,0.0
3,15,3,1,False,0,0,0,0.0348,0,0,0,0.0
3,30,3,1,False,0,0,0,0.0327,0,0,0,0.0
3,45,3,1,False,0,0,0,0.0288,0,0,0,0.0
3,0,4,1,False,0,0,0,0.0241,0,0,0,0.0
3,15,4,1,False,0,0,0,0.0291,0,0,0,0.0
3,30,4,1,False,0,0,0,0.033600000000000005,0,0,0,0.0
3,45,4,1,False,0,0,0,0.0345,0,0,0,0.0
3,0,5,1,False,0,0,0,0.024800000000000003,0,0,0,0.0
3,15,5,1,False,0,0,0,0.0251,0,0,0,0.0
3,30,5,1,False,0,0,0,0.0309,0,0,0,0.0
3,45,5,1,False,0,0,0,0.0308,0,0,0,0.0
3,0,6,1,False,0,0,0,0.0291,0,0,0,0.0
3,15,6,1,False,0,0,0,0.025099999999999997,0,0,0,0.0
3,30,6,1,False,0,0,0,0.03,0,0,0,0.0
3,45,6,1,False,0,0,0,0.0293,0,0,0,0.0004
3,0,7,1,False,0,0,0,0.0186,0,0,0,0.008199999999999999
3,15,7,1,False,0,0,0,0.0068000000000000005,0,0,0,0.0156
3,30,7,1,False,0,0,0,0.0068000000000000005,0,0,0,0.0257
3,45,7,1,False,0,0,0,0.0431,0,0,0,0.0385
3,0,8,1,False,0,0,0,0.1941,0,0,0,0.0603
3,15,8,1,False,0,0,0,0.0199,0,0,0,0.0675
3,30,8,1,False,0,0,0,0.0072,0,0,0,0.0879
