month,minutes,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation
3,0,0,1,False,0,0,0,0.3121,0,0,0,0.0
3,15,0,1,False,0,0,0,0.303,0,0,0,0.0
3,30,0,1,False,0,0,0,0.3069,0,0,0,0.0
3,45,0,1,False,0,0,0,0.2429,0,0,0,0.0
3,0,1,1,False,0,0,0,0.27449999999999997,0,0,0,0.0
3,15,1,1,False,0,0,0,0.23720000000000002,0,0,0,0.0
3,30,1,1,False,0,0,0,0.2485,0,0,0,0.0
3,45,1,1,False,0,0,0,0.2837,0,0,0,0.0
3,0,2,1,False,0,0,0,0.1238,0,0,0,0.0
3,15,2,1,False,0,0,0,0.0815,0,0,0,0.0
3,30,2,1,False,0,0,0,0.049,0,0,0,0.0
3,45,2,1,False,0,0,0,0.07680000000000001,0,0,0,0.0
3,0,3,1,False,0,0,0,0.0637,0,0,0,0.0
3,15,3,1,False,0,0,0,0.0438,0,0,0,0.0
3,30,3,1,False,0,0,0,0.0917,0,0,0,0.0
3,45,3,1,False,0,0,0,0.0582,0,0,0,0.0
3,0,4,1,False,0,0,0,0.0503,0,0,0,0.0
3,15,4,1,False,0,0,0,0.0831,0,0,0,0.0
3,30,4,1,False,0,0,0,0.0565,0,0,0,0.0
3,45,4,1,False,0,0,0,0.065,0,0,0,0.0
3,0,5,1,False,0,0,0,0.06520000000000001,0,0,0,0.0
3,15,5,1,False,0,0,0,0.052,0,0,0,0.0
3,30,5,1,False,0,0,0,0.0854,0,0,0,0.0
3,45,5,1,False,0,0,0,0.054,0,0,0,0.0
3,0,6,1,False,0,0,0,0.052000000000000005,0,0,0,0.0
3,15,6,1,False,0,0,0,0.0892,0,0,0,0.0
3,30,6,1,False,0,0,0,0.0462,0,0,0,0.0
3,45,6,1,False,0,0,0,0.0547,0,0,0,0.0
3,0,7,1,False,0,0,0,0.06570000000000001,0,0,0,0.0013
3,15,7,1,False,0,0,0,0.0241,0,0,0,0.013999999999999999
3,30,7,1,False,0,0,0,0.0397,0,0,0,0.0317
3,45,7,1,False,0,0,0,0.0084,0,0,0,0.059800000000000006
3,0,8,1,False,0,0,0,0.0004,0,0,0,0.1225
3,15,8,1,False,0,0,0,0.0,0,0,0,0.11410000000000001
3,30,8,1,False,0,0,0,0.0,0,0,0,0.11019999999999999
3,45,8,1,False,0,0,0,0.0002,0,0,0,0.18980000000000002
3,0,9,1,False,0,0,0,0.0956,0,0,0,0.2484
3,15,9,1,False,0,0,0,0.0598,0,0,0,0.2931
3,30,9,1,False,0,0,0,0.062299999999999994,0,0,0,0.3507
3,45,9,1,False,0,0,0,0.0333,0,0,0,0.4074
3,0,10,1,False,0,0,0,0.0152,0,0,0,0.4739
3,15,10,1,False,0,0,0,0.0635,0,0,0,0.5235
3,30,10,1,False,0,0,0,0.1032,0,0,0,0.5655
3,45,10,1,False,0,0,0,0.1075,0,0,0,0.6329
3,0,11,1,False,0,0,0,0.099,0,0,0,0.6848000000000001
3,15,11,1,False,0,0,0,0.0507,0,0,0,0.7182
3,30,11,1,False,0,0,0,0.0533,0,0,0,0.7534000000000001
3,45,11,1,False,0,0,0,0.0742,0,0,0,0.7772
3,0,12,1,False,0,0,0,0.0553,0,0,0,0.8
3,15,12,1,False,0,0,0,0.0421,0,0,0,0.8176
3,30,12,1,False,0,0,0,0.0436,0,0,0,0.8353999999999999
3,45,12,1,False,0,0,0,0.0442,0,0,0,0.8482
3,0,13,1,False,0,0,0,0.0398,0,0,0,0.864
3,15,13,1,False,0,0,0,0.0496,0,0,0,0.8715999999999999
3,30,13,1,False,0,0,0,0.054,0,0,0,0.8532
3,45,13,1,False,0,0,0,0.0479,0,0,0,0.8775999999999999
3,0,14,1,False,0,0,0,0.0005,0,0,0,0.8912
3,15,14,1,False,0,0,0,0.0208,0,0,0,0.8504
3,30,14,1,False,0,0,0,0.01,0,0,0,0.8433999999999999
3,45,14,1,False,0,0,0,0.08,0,0,0,0.5836
3,0,15,1,False,0,0,0,0.0,0,0,0,0.8366
3,15,15,1,False,0,0,0,0.0,0,0,0,0.7989999999999999
3,30,15,1,False,0,0,0,0.0002,0,0,0,0.79
3,45,15,1,False,0,0,0,0.0096,0,0,0,0.7586
3,0,16,1,False,0,0,0,0.0582,0,0,0,0.6691
3,15,16,1,False,0,0,0,0.2148,0,0,0,0.1836
3,30,16,1,False,0,0,0,0.0009,0,0,0,0.597
3,45,16,1,False,0,0,0,0.0154,0,0,0,0.5703
3,0,17,1,False,0,0,0,0.0614,0,0,0,0.5325
3,15,17,1,False,0,0,0,0.0621,0,0,0,0.45909999999999995
3,30,17,1,False,0,0,0,0.086,0,0,0,0.3857
3,45,17,1,False,0,0,0,0.11510000000000001,0,0,0,0.32
3,0,18,1,False,0,0,0,0.0,0,0,0,0.2432
3,15,18,1,False,0,0,0,0.0006000000000000001,0,0,0,0.1642
3,30,18,1,False,0,0,0,0.09340000000000001,0,0,0,0.019799999999999998
3,45,18,1,False,0,0,0,0.0688,0,0,0,0.0023
3,0,19,1,False,0,0,0,0.3015,0,0,0,0.0
3,15,19,1,False,0,0,0,0.2737,0,0,0,0.0
3,30,19,1,False,0,0,0,0.2922,0,0,0,0.0
3,45,19,1,False,0,0,0,0.2798,0,0,0,0.0
3,0,20,1,False,0,0,0,0.29769999999999996,0,0,0,0.0
3,15,20,1,False,0,0,0,0.2706,0,0,0,0.0
3,30,20,1,False,0,0,0,0.2995,0,0,0,0.0
3,45,20,1,False,0,0,0,0.2881,0,0,0,0.0
3,0,21,1,False,0,0,0,0.2817,0,0,0,0.0
3,15,21,1,False,0,0,0,0.3258,0,0,0,0.0
3,30,21,1,False,0,0,0,0.248,0,0,0,0.0
3,45,21,1,False,0,0,0,0.3116,0,0,0,0.0
3,0,22,1,False,0,0,0,0.2927,0,0,0,0.0
3,15,22,1,False,0,0,0,0.2938,0,0,0,0.0
3,30,22,1,False,0,0,0,0.2759,0,0,0,0.0
3,45,22,1,False,0,0,0,0.35,0,0,0,0.0
3,0,23,1,False,0,0,0,0.26439999999999997,0,0,0,0.0
3,15,23,1,False,0,0,0,0.32280000000000003,0,0,0,0.0
3,30,23,1,False,0,0,0,0.2435,0,0,0,0.0
3,45,23,1,False,0,0,0,0.26739999999999997,0,0,0,0.0
3,0,0,2,False,0,0,0,0.2716,0,0,0,0.0
3,15,0,2,False,0,0,0,0.2374,0,0,0,0.0
3,30,0,2,False,0,0,0,0.2633,0,0,0,0.0
3,45,0,2,False,0,0,0,0.26,0,0,0,0.0
3,0,1,2,False,0,0,0,0.2526,0,0,0,0.0
3,15,1,2,False,0,0,0,0.23959999999999998,0,0,0,0.0
3,30,1,2,False,0,0,0,0.2925,0,0,0,0.0
3,45,1,2,False,0,0,0,0.2023,0,0,0,0.0
3,0,2,2,False,0,0,0,0.18,0,0,0,0.0
