electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0.12,0.079,0.117,0.12
0.122,0.07,0.139,0.12
0.121,0.06,0.145,0.106
0.112,0.072,0.15,0.076
0.09,0.078,0.136,0.028
0.084,0.087,0.128,0.05
0.079,0.117,0.136,0.07
0.07,0.139,0.124,0.071
0.06,0.145,0.121,0.07
0.072,0.15,0.119,0.059
0.078,0.136,0.114,0.07
0.087,0.128,0.114,0.073
0.117,0.136,0.12,0.085
0.139,0.124,0.12,0.129
0.145,0.121,0.106,0.143
0.15,0.119,0.076,0.16
0.136,0.114,0.028,0.146
0.128,0.114,0.05,0.141
0.136,0.12,0.07,0.127
0.124,0.12,0.071,0.114
0.121,0.106,0.07,0.114
0.119,0.076,0.059,0.114
0.114,0.028,0.07,0.114
0.114,0.05,0.073,0.119
0.12,0.07,0.085,0.131
0.12,0.071,0.129,0.139
0.106,0.07,0.143,0.143
0.076,0.059,0.16,0.133
0.028,0.07,0.146,0.097
0.05,0.073,0.141,0.09
0.07,0.085,0.127,0.09
0.071,0.129,0.114,0.09
0.07,0.143,0.114,0.089
0.059,0.16,0.114,0.092
0.07,0.146,0.114,0.097
0.073,0.141,0.119,0.103
0.085,0.127,0.131,0.13
0.129,0.114,0.139,0.149
0.143,0.114,0.143,0.156
0.16,0.114,0.133,0.16
0.146,0.114,0.097,0.138
0.141,0.119,0.09,0.133
0.127,0.131,0.09,0.122
0.114,0.139,0.09,0.109
0.114,0.143,0.089,0.106
0.114,0.133,0.092,0.111
0.114,0.097,0.097,0.111
0.119,0.09,0.103,0.122
0.131,0.09,0.13,0.13
0.139,0.09,0.149,0.139
0.143,0.089,0.156,0.146
0.133,0.092,0.16,0.131
0.097,0.097,0.138,0.11
0.09,0.103,0.133,0.099
0.09,0.13,0.122,0.098
0.09,0.149,0.109,0.098
0.089,0.156,0.106,0.098
0.092,0.16,0.111,0.098
0.097,0.138,0.111,0.104
0.103,0.133,0.122,0.122
0.13,0.122,0.13,0.135
