month,day_type,hour,daylight_savings_status,non_shiftable_load,solar_generation
9,4,0,True,0.1368,0.0
9,4,1,True,0.1244,0.0
9,4,2,True,0.1159,0.0
9,4,3,True,0.0898,0.0
9,4,4,True,0.099,0.0
9,4,5,True,0.1163,0.0
9,4,6,True,0.4088,0.0039
9,4,7,True,0.4373,0.1204
9,4,8,True,0.5388,0.9117
9,4,9,True,0.3966,2.2878
9,4,10,True,0.2779,2.7088
9,4,11,True,0.09570000000000001,1.7061
9,4,12,True,0.1147,1.3624
9,4,13,True,0.0713,1.8519
9,4,14,True,0.0949,1.3952
9,4,15,True,0.1516,0.5647
9,4,16,True,0.1243,0.5101
9,4,17,True,0.118,0.2198
9,4,18,True,0.2657,0.0451
9,4,19,True,1.065,0.0
9,4,20,True,0.4978,0.0
9,4,21,True,0.384,0.0
9,4,22,True,0.3779,0.0
9,4,23,True,0.1544,0.0
9,5,0,True,0.2019,0.0
9,5,1,True,0.1812,0.0
9,5,2,True,0.169,0.0
9,5,3,True,0.08020000000000001,0.0
9,5,4,True,0.1045,0.0
9,5,5,True,0.2145,0.0
9,5,6,True,0.1548,0.0005
9,5,7,True,0.1953,0.0375
9,5,8,True,0.3098,0.3885
9,5,9,True,0.1379,0.4632
9,5,10,True,0.1244,0.5166
9,5,11,True,0.9154,0.9795
9,5,12,True,0.3296,1.7610999999999999
9,5,13,True,0.2611,1.3366
9,5,14,True,0.2131,1.7972
9,5,15,True,0.1579,1.7397
9,5,16,True,0.1236,1.1752
9,5,17,True,0.1045,0.412
9,5,18,True,0.2571,0.0399
9,5,19,True,1.2706,0.0
9,5,20,True,1.2504,0.0
9,5,21,True,0.4992,0.0
9,5,22,True,0.154,0.0
9,5,23,True,0.1421,0.0
9,6,0,True,0.1242,0.0
9,6,1,True,0.0885,0.0
9,6,2,True,0.1019,0.0
9,6,3,True,0.0995,0.0
9,6,4,True,0.0981,0.0
9,6,5,True,0.0846,0.0
9,6,6,True,0.0985,0.0392
9,6,7,True,0.1409,0.0564
9,6,8,True,0.2389,0.1033
9,6,9,True,0.2758,0.6972
9,6,10,True,0.2294,1.8222
9,6,11,True,0.2064,2.0987
9,6,12,True,0.45630000000000004,1.1517
9,6,13,True,0.2238,1.5342
9,6,14,True,0.1371,1.2717
9,6,15,True,0.1735,0.84
9,6,16,True,0.1458,0.8004
9,6,17,True,0.9154,0.29710000000000003
9,6,18,True,2.0243,0.0442
9,6,19,True,0.3695,0.0
9,6,20,True,0.2768,0.0
9,6,21,True,0.2148,0.0
9,6,22,True,0.3297,0.0
9,6,23,True,0.1411,0.0
9,0,0,True,0.1017,0.0
9,0,1,True,0.1014,0.0
9,0,2,True,0.1015,0.0
9,0,3,True,0.1365,0.0
9,0,4,True,0.1297,0.0
9,0,5,True,0.386,0.0
9,0,6,True,0.4004,0.0146
9,0,7,True,0.4074,0.7276
9,0,8,True,0.0756,1.7378
9,0,9,True,0.0533,1.993
9,0,10,True,0.0829,1.3807
9,0,11,True,0.1272,2.5118
9,0,12,True,0.0988,0.8312
9,0,13,True,0.0972,2.005
9,0,14,True,0.1148,1.7031
9,0,15,True,0.1547,1.3622
9,0,16,True,0.1374,1.0518
9,0,17,True,0.081,0.3099
9,0,18,True,0.107,0.0379
9,0,19,True,0.7183,0.0
9,0,20,True,0.2902,0.0
9,0,21,True,0.4014,0.0
9,0,22,True,0.2996,0.0
9,0,23,True,0.1001,0.0
9,1,0,True,0.0993,0.0
9,1,1,True,0.08600000000000001,0.0
9,1,2,True,0.0837,0.0
9,1,3,True,0.0984,0.0
9,1,4,True,0.0761,0.0
9,1,5,True,0.0995,0.0
9,1,6,True,0.2314,0.0248
9,1,7,True,0.3013,0.7572
9,1,8,True,0.1739,1.7405
9,1,9,True,0.0755,2.4426
9,1,10,True,0.0491,2.9008000000000003
9,1,11,True,0.053899999999999997,2.468
9,1,12,True,0.2695,2.2586
9,1,13,True,0.10919999999999999,2.8882
9,1,14,True,0.8597,2.5963
9,1,15,True,0.1589,1.9355
9,1,16,True,0.2595,0.9273
9,1,17,True,0.3848,0.3439
9,1,18,True,0.1988,0.0324
9,1,19,True,0.7928,0.0
9,1,20,True,0.4034,0.0
9,1,21,True,0.3325,0.0
9,1,22,True,0.1378,0.0
9,1,23,True,0.121,0.0
9,2,0,True,0.0753,0.0
9,2,1,True,0.09870000000000001,0.0
9,2,2,True,0.0992,0.0
9,2,3,True,0.069,0.0
9,2,4,True,0.1027,0.0
9,2,5,True,0.072,0.0
9,2,6,True,0.4449,0.044399999999999995
9,2,7,True,0.1038,0.5752
9,2,8,True,0.1161,1.1956
9,2,9,True,0.2014,1.1643999999999999
9,2,10,True,0.486,1.6122999999999998
9,2,11,True,0.586,0.727
9,2,12,True,0.1258,0.839
9,2,13,True,0.0996,1.5131
9,2,14,True,0.1234,1.7568000000000001
9,2,15,True,0.09179999999999999,1.6353
9,2,16,True,0.1071,0.9273
9,2,17,True,0.1008,0.2845
9,2,18,True,0.0953,0.0186
9,2,19,True,0.8985,0.0
9,2,20,True,0.30069999999999997,0.0
9,2,21,True,0.4141,0.0
9,2,22,True,0.3897,0.0
9,2,23,True,0.1944,0.0
9,3,0,True,0.08460000000000001,0.0
9,3,1,True,0.0908,0.0
9,3,2,True,0.1586,0.0
9,3,3,True,0.1193,0.0
9,3,4,True,0.0752,0.0
9,3,5,True,0.0969,0.0
9,3,6,True,0.2459,0.0017
9,3,7,True,0.1476,0.0586
9,3,8,True,0.106,1.1954
9,3,9,True,0.1183,1.7995
9,3,10,True,0.0793,1.0909
9,3,11,True,0.1002,1.3944
9,3,12,True,0.0951,1.4558
9,3,13,True,0.1076,2.6824
9,3,14,True,0.0995,1.9943
9,3,15,True,0.0979,1.7164
9,3,16,True,0.15839999999999999,0.7323000000000001
9,3,17,True,0.1251,0.2749
9,3,18,True,1.1004,0.0403
9,3,19,True,1.1827,0.0
9,3,20,True,0.278,0.0
9,3,21,True,0.17400000000000002,0.0
9,3,22,True,0.1138,0.0
9,3,23,True,0.0815,0.0
9,4,0,True,0.1006,0.0
9,4,1,True,0.2477,0.0
9,4,2,True,0.8558,0.0
9,4,3,True,0.19319999999999998,0.0
9,4,4,True,0.1547,0.0
9,4,5,True,0.4164,0.0
9,4,6,True,0.4997,0.0207
9,4,7,True,0.2304,0.7127
9,4,8,True,0.1367,1.8053
9,4,9,True,0.0998,2.4807
9,4,10,True,0.1137,1.9724
9,4,11,True,0.09040000000000001,1.6171
9,4,12,True,0.0979,1.5064
9,4,13,True,0.1104,1.4442
9,4,14,True,0.0795,1.8159
9,4,15,True,0.095,1.7425
9,4,16,True,0.0692,0.9257
9,4,17,True,0.0951,0.2749
9,4,18,True,0.09759999999999999,0.025099999999999997
9,4,19,True,0.3115,0.0
9,4,20,True,0.21610000000000001,0.0
9,4,21,True,0.4993,0.0
9,4,22,True,0.2281,0.0
9,4,23,True,0.1871,0.0
9,5,0,True,0.1197,0.0
9,5,1,True,0.0815,0.0
9,5,2,True,0.1,0.0
9,5,3,True,0.079,0.0
9,5,4,True,0.0983,0.0
9,5,5,True,0.0794,0.0
9,5,6,True,0.1232,0.014799999999999999
9,5,7,True,0.4409,0.8013
9,5,8,True,0.5732,1.8657
9,5,9,True,1.3859,2.5492
9,5,10,True,0.46490000000000004,2.9168
9,5,11,True,0.1848,2.7243
9,5,12,True,0.2676,1.9076
9,5,13,True,0.2976,1.8077
9,5,14,True,0.3994,2.4791
9,5,15,True,0.4131,1.9233
9,5,16,True,0.2029,0.9994999999999999
9,5,17,True,0.2004,0.24760000000000001
9,5,18,True,0.2044,0.0201
9,5,19,True,0.1184,0.0
9,5,20,True,0.0732,0.0
9,5,21,True,0.1007,0.0
9,5,22,True,0.0813,0.0
9,5,23,True,0.1324,0.0
9,6,0,True,0.0889,0.0
9,6,1,True,0.0984,0.0
9,6,2,True,0.0745,0.0
9,6,3,True,0.0994,0.0
9,6,4,True,0.07250000000000001,0.0
9,6,5,True,0.0973,0.0
9,6,6,True,0.09179999999999999,0.0183
9,6,7,True,0.2027,0.7428
9,6,8,True,0.2686,1.7752
9,6,9,True,0.6942,2.5221
9,6,10,True,0.1285,2.914
9,6,11,True,0.2605,2.2476000000000003
9,6,12,True,0.4515,2.3172
9,6,13,True,0.1074,1.7482
9,6,14,True,0.1463,1.4794
9,6,15,True,0.1693,1.3454000000000002
9,6,16,True,0.6404,0.9613
9,6,17,True,0.1518,0.2364
9,6,18,True,0.1273,0.0189
