2025-02-21 16:24:03 | ERROR | CWReceiver: No internet connection. HTTPSConnectionPool(host='ks.innov.cleanwatts.energy', port=443): Max retries exceeded with url: /api/2.0/data/lastvalue/Instant?from=2003-06-11&tags=29660 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f57349a8410>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-21 16:24:16 | ERROR | CWReceiver: No internet connection. HTTPSConnectionPool(host='ks.innov.cleanwatts.energy', port=443): Max retries exceeded with url: /api/2.0/data/lastvalue/Instant?from=2003-06-11&tags=35927 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f573491ae90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-21 16:24:16 | ERROR | CWReceiver: No internet connection. HTTPSConnectionPool(host='ks.innov.cleanwatts.energy', port=443): Max retries exceeded with url: /api/2.0/data/lastvalue/Instant?from=2003-06-11&tags=29725 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f573491bed0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-21 16:24:16 | ERROR | CWReceiver: No internet connection. HTTPSConnectionPool(host='ks.innov.cleanwatts.energy', port=443): Max retries exceeded with url: /api/2.0/data/lastvalue/Instant?from=2003-06-11&tags=30080 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f5734919810>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-21 16:24:16 | ERROR | CWReceiver: No internet connection. HTTPSConnectionPool(host='ks.innov.cleanwatts.energy', port=443): Max retries exceeded with url: /api/2.0/data/lastvalue/Instant?from=2003-06-11&tags=36769 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f573491b9d0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-21 16:24:16 | ERROR | CWReceiver: No internet connection. HTTPSConnectionPool(host='ks.innov.cleanwatts.energy', port=443): Max retries exceeded with url: /api/2.0/data/lastvalue/Instant?from=2003-06-11&tags=30642 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f573491b390>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-21 16:24:16 | ERROR | CWReceiver: No internet connection. HTTPSConnectionPool(host='ks.innov.cleanwatts.energy', port=443): Max retries exceeded with url: /api/2.0/data/lastvalue/Instant?from=2003-06-11&tags=29373 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f5734919450>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-21 16:24:20 | ERROR | CWReceiver: No internet connection. HTTPSConnectionPool(host='ks.innov.cleanwatts.energy', port=443): Max retries exceeded with url: /api/2.0/data/lastvalue/Instant?from=2003-06-11&tags=29658 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f57349a87d0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-21 16:24:20 | ERROR | CWReceiver: No internet connection. HTTPSConnectionPool(host='ks.innov.cleanwatts.energy', port=443): Max retries exceeded with url: /api/2.0/data/lastvalue/Instant?from=2003-06-11&tags=31049 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f57349a8550>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-21 16:24:20 | ERROR | CWReceiver: No internet connection. HTTPSConnectionPool(host='ks.innov.cleanwatts.energy', port=443): Max retries exceeded with url: /api/2.0/data/lastvalue/Instant?from=2003-06-11&tags=37214 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f57349a9090>: Failed to establish a new connection: [Errno 111] Connection refused'))
